fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,17600,1,17600,0.0038,0.0036,0.0011,0.311
por_batch,17800,1,17800,0.0677,0.0678,0.0058,0.086
por_batch,18000,1,18000,0.0084,0.0074,0.0013,0.18
por_batch,18200,1,18200,0.003,0.0031,0.0008,0.247
por_batch,18400,1,18400,0.0015,0.0017,0.0002,0.137
por_batch,18600,1,18600,0.0306,0.0802,0.0036,0.045
por_batch,18800,1,18800,0.017,0.0236,0.0044,0.185
por_batch,19000,1,19000,0.0312,0.0212,0.001,0.048
por_batch,19200,1,19200,0.0275,0.0286,0.0019,0.065
por_batch,19400,1,19400,0.0005,0.0006,0.0001,0.195
por_batch,19600,1,19600,0.0097,0.0104,0.0015,0.141
por_batch,19800,1,19800,0.0051,0.006,0.0019,0.312
por_batch,20000,1,20000,0.0028,0.0028,0.0004,0.159
por_batch,20200,1,20200,0.0,0.0,0.0,0.0
por_batch,20400,1,20400,0.0001,0.0001,0.0,0.088
por_batch,20600,1,20600,0.0693,0.0656,0.0071,0.108
por_batch,20800,1,20800,0.0499,0.054,0.0093,0.171
por_batch,21000,1,21000,0.0001,0.0001,0.0001,0.833
por_batch,21200,1,21200,0.0,0.0,0.0,0.0
por_batch,21400,1,21400,0.0053,0.0043,0.0013,0.314
por_batch,21600,1,21600,0.0007,0.0007,0.0001,0.147
por_batch,21800,1,21800,0.0016,0.0031,0.0005,0.165
por_batch,22000,1,22000,0.0,0.0,0.0,0.0
por_batch,22200,1,22200,0.0063,0.0048,0.0005,0.115
por_batch,22400,1,22400,0.0608,0.0477,0.0111,0.232
por_batch,22600,1,22600,0.0053,0.0051,0.0008,0.152
por_batch,22800,1,22800,0.0079,0.0074,0.0012,0.157
por_batch,23000,1,23000,0.0173,0.0174,0.0024,0.14
por_batch,23200,1,23200,0.0248,0.0194,0.0023,0.116
por_batch,23400,1,23400,0.0616,0.0576,0.007,0.122
por_batch,23600,1,23600,0.0817,0.0748,0.007,0.094
por_batch,23800,1,23800,0.0075,0.0074,0.0008,0.105
por_batch,24000,1,24000,0.0937,0.0917,0.0168,0.183
por_batch,24200,1,24200,0.0102,0.0092,0.0012,0.126
por_batch,24400,1,24400,0.0021,0.0027,0.0004,0.153
por_batch,24600,1,24600,0.0,0.0,0.0,0.0
por_batch,24800,1,24800,0.0006,0.0008,0.0001,0.15
por_batch,25000,1,25000,0.0021,0.0024,0.0006,0.267
por_batch,25200,1,25200,0.0046,0.0048,0.0005,0.108
por_batch,25400,1,25400,0.0111,0.0137,0.0005,0.034
por_batch,25600,1,25600,0.012,0.0142,0.0006,0.044
por_batch,25800,1,25800,0.0004,0.0005,0.0002,0.4
por_batch,26000,1,26000,0.0081,0.0066,0.0005,0.075
por_batch,26200,1,26200,0.0209,0.019,0.0013,0.071
por_batch,26400,1,26400,0.0976,0.0659,0.0043,0.065
por_batch,26600,1,26600,0.002,0.0025,0.0003,0.132
por_batch,26800,1,26800,0.0054,0.0049,0.0007,0.146
por_batch,27000,1,27000,0.001,0.0011,0.0004,0.353
por_batch,27200,1,27200,0.0081,0.0085,0.0011,0.129
por_batch,27400,1,27400,0.0004,0.0003,0.0001,0.304
por_batch,27600,1,27600,0.0038,0.0035,0.0009,0.249
por_batch,27800,1,27800,0.004,0.0036,0.0022,0.61
por_batch,28000,1,28000,0.0027,0.0028,0.0003,0.117
por_batch,28200,1,28200,0.014,0.0129,0.0017,0.135
por_batch,28400,1,28400,0.0566,0.0645,0.0063,0.098
por_batch,28600,1,28600,0.0,0.0,0.0,0.0
por_batch,28800,1,28800,0.0111,0.0094,0.0019,0.207
por_batch,29000,1,29000,0.0048,0.0052,0.0009,0.171
por_batch,29200,1,29200,0.0014,0.0015,0.0002,0.119
por_batch,29400,1,29400,0.0006,0.0006,0.0002,0.407
por_batch,29600,1,29600,0.0391,0.0439,0.007,0.159
por_batch,29800,1,29800,0.0019,0.0022,0.0004,0.2
por_batch,30000,1,30000,0.0144,0.0114,0.0017,0.146
por_batch,30200,1,30200,0.0026,0.0018,0.001,0.546
por_batch,30400,1,30400,0.007,0.0056,0.0004,0.074
por_batch,30600,1,30600,0.0017,0.0013,0.0005,0.356
por_batch,30800,1,30800,0.0024,0.0025,0.0004,0.172
por_batch,31000,1,31000,0.0046,0.0048,0.0006,0.117
por_batch,31200,1,31200,0.0154,0.0069,0.0016,0.234
por_batch,31400,1,31400,0.0143,0.0165,0.0009,0.052
por_batch,31600,1,31600,0.0479,0.0454,0.0145,0.32
por_batch,31800,1,31800,0.0727,0.0738,0.0107,0.145
por_batch,32000,1,32000,0.0768,0.0646,0.096,1.486
por_batch,32200,1,32200,0.008,0.0085,0.0011,0.132
por_batch,32400,1,32400,0.0215,0.0255,0.0038,0.147
por_batch,32600,1,32600,0.008,0.0091,0.0011,0.118
por_batch,32800,1,32800,0.0198,0.0133,0.0014,0.105
por_batch,33000,1,33000,0.0053,0.0065,0.0022,0.335
por_batch,33200,1,33200,0.0357,0.0306,0.0066,0.217
por_batch,33400,1,33400,0.0,0.0,0.0,0.0
por_batch,33600,1,33600,0.0185,0.0188,0.0014,0.075
por_batch,33800,1,33800,0.0015,0.0015,0.0001,0.093
por_batch,34000,1,34000,0.0025,0.0033,0.0003,0.078
por_batch,34200,1,34200,0.0645,0.0625,0.0078,0.124
por_batch,34400,1,34400,0.0,0.0,0.0,0.0
por_batch,34600,1,34600,0.0696,0.0666,0.0216,0.324
por_batch,34800,1,34800,0.068,0.0663,0.0116,0.175
por_batch,35000,1,35000,0.0025,0.0025,0.0004,0.142
por_batch,35200,1,35200,0.0166,0.0152,0.0032,0.212
por_batch,35400,1,35400,0.0041,0.0052,0.001,0.19
por_batch,35600,1,35600,0.0675,0.0512,0.02,0.391
por_batch,35800,1,35800,0.1217,0.111,0.0286,0.258
por_batch,36000,1,36000,0.0032,0.0032,0.0004,0.123
por_batch,36200,1,36200,0.003,0.0026,0.0003,0.132
por_batch,36400,1,36400,0.0044,0.0058,0.0006,0.106
por_batch,36600,1,36600,0.0015,0.0015,0.0003,0.205
por_batch,36800,1,36800,0.0163,0.0182,0.0011,0.062
por_batch,37000,1,37000,0.0059,0.0045,0.0003,0.058
por_batch,37200,1,37200,0.0797,0.0525,0.0106,0.202
por_batch,37400,1,37400,0.0013,0.0017,0.0003,0.186
por_batch,37600,1,37600,0.0074,0.0083,0.0012,0.146
por_batch,37800,1,37800,0.0053,0.0053,0.0012,0.223
por_batch,38000,1,38000,0.0057,0.0075,0.0006,0.084
por_batch,38200,1,38200,0.0,0.0,0.0,0.0
por_batch,38400,1,38400,0.0943,0.0906,0.0218,0.241
por_batch,38600,1,38600,0.0024,0.0022,0.0003,0.146
por_batch,38800,1,38800,0.0035,0.0037,0.0008,0.223
por_batch,39000,1,39000,0.011,0.0127,0.0006,0.044
por_batch,39200,1,39200,0.0053,0.0044,0.0008,0.178
por_batch,39400,1,39400,0.0962,0.1037,0.0313,0.302
por_batch,39600,1,39600,0.0,0.0,0.0,0.0
por_batch,39800,1,39800,0.0006,0.0007,0.0002,0.338
por_batch,40000,1,40000,0.0,0.0,0.0,0.0
por_batch,40200,1,40200,0.0409,0.0368,0.0111,0.302
por_batch,40400,1,40400,0.0101,0.0094,0.0012,0.131
por_batch,40600,1,40600,0.0018,0.0017,0.0003,0.184
por_batch,40800,1,40800,0.0062,0.0109,0.0004,0.037
por_batch,41000,1,41000,0.0235,0.0281,0.0035,0.126
por_batch,41200,1,41200,0.0001,0.0001,0.0001,0.756
por_batch,41400,1,41400,0.0001,0.0001,0.0001,0.395
por_batch,41600,1,41600,0.0,0.0,0.0,0.0
por_batch,41800,1,41800,0.0012,0.0011,0.0003,0.271
por_batch,42000,1,42000,0.0017,0.0011,0.0002,0.178
por_batch,42200,1,42200,0.0046,0.005,0.0008,0.161
por_batch,42400,1,42400,0.001,0.001,0.0003,0.334
por_batch,42600,1,42600,0.076,0.0575,0.0155,0.27
por_batch,42800,1,42800,0.0797,0.0636,0.0076,0.119
por_batch,43000,1,43000,0.0327,0.0398,0.0046,0.117
por_batch,43200,1,43200,0.0059,0.0053,0.0009,0.174
por_batch,43400,1,43400,0.0056,0.0052,0.0005,0.095
por_batch,43600,1,43600,0.0004,0.0005,0.0002,0.384
por_batch,43800,1,43800,0.0818,0.0655,0.0472,0.721
por_batch,44000,1,44000,0.001,0.0009,0.0003,0.307
por_batch,44200,1,44200,0.0,0.0,0.0001,13957.651
por_batch,44400,1,44400,0.0136,0.0218,0.0022,0.101
por_batch,44600,1,44600,0.0007,0.0006,0.0002,0.38
por_batch,44800,1,44800,0.0002,0.0001,0.0001,0.419
por_batch,45000,1,45000,0.0057,0.0058,0.0007,0.123
por_batch,45200,1,45200,0.0,0.0,0.0,0.21
por_batch,45400,1,45400,0.0065,0.0078,0.0005,0.059
por_batch,45600,1,45600,0.001,0.0013,0.0002,0.14
por_batch,45800,1,45800,0.0011,0.0008,0.0001,0.149
por_batch,46000,1,46000,0.0172,0.0162,0.0015,0.094
por_batch,46200,1,46200,0.0001,0.0001,0.0,0.252
por_batch,46400,1,46400,0.0563,0.0487,0.0189,0.389
por_batch,46600,1,46600,0.0317,0.0295,0.0034,0.117
por_batch,46800,1,46800,0.0185,0.0208,0.0023,0.109
por_batch,47000,1,47000,0.0176,0.0149,0.0014,0.092
por_batch,47200,1,47200,0.0099,0.0095,0.0011,0.112
por_batch,47400,1,47400,0.0126,0.0112,0.0017,0.152
por_batch,47600,1,47600,0.0241,0.0181,0.0015,0.086
por_batch,47800,1,47800,0.008,0.0116,0.0009,0.077
por_batch,48000,1,48000,0.0029,0.0024,0.0006,0.26
por_batch,48200,1,48200,0.0007,0.0009,0.0001,0.13
