protocol,roi,fit_type,shells_used,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqC,CGC,single_shell,1000,1000.0,32,8,6,1470,0.0,0.6619047619047619,0.3380952380952381,1.4761904761904763,0.3618033588807487
SeqC,CGH,single_shell,1000,1000.0,32,8,6,708,0.0,0.6115819209039548,0.3884180790960452,1.5197740112994351,0.357302870285369
SeqC,UF,single_shell,1000,1000.0,32,8,6,163,0.0,0.7975460122699386,0.20245398773006135,1.2269938650306749,0.31505816982366214
SeqC,whole_mask,single_shell,1500,1500.0,64,8,6,419664,3.5742880018300355e-05,0.24814851881505204,0.7518157383049296,2.284904113767204,0.40306806101663395
SeqC,FX,single_shell,1500,1500.0,64,8,6,142,0.0,0.971830985915493,0.028169014084507043,1.0352112676056338,0.39390260348529305
SeqC,CGC,single_shell,1500,1500.0,64,8,6,1470,0.0,0.6918367346938775,0.3081632653061224,1.4510204081632654,0.4051566875639303
SeqC,CGH,single_shell,1500,1500.0,64,8,6,708,0.0,0.672316384180791,0.327683615819209,1.481638418079096,0.3964695772736341
SeqC,UF,single_shell,1500,1500.0,64,8,6,163,0.0,0.8466257668711656,0.15337423312883436,1.177914110429448,0.358304433589096
SeqD,whole_mask,single_shell,750,750.0,28,8,6,436961,0.00018765976826307153,0.26431649506477695,0.73549584516696,2.1538810099757186,0.4052415371342205
SeqD,FX,single_shell,750,750.0,28,8,6,131,0.0,0.9847328244274809,0.015267175572519083,1.015267175572519,0.3238686502918075
SeqD,CGC,single_shell,750,750.0,28,8,6,1472,0.0,0.6677989130434783,0.33220108695652173,1.4599184782608696,0.34350255507148403
SeqD,CGH,single_shell,750,750.0,28,8,6,765,0.0,0.6196078431372549,0.3803921568627451,1.4993464052287582,0.33716347483692927
SeqD,UF,single_shell,750,750.0,28,8,6,175,0.0,0.8,0.2,1.2114285714285715,0.29729056310131163
SeqD,whole_mask,single_shell,1500,1500.0,64,8,6,436961,0.00018765976826307153,0.25644622746652446,0.7433661127652125,2.265678172651564,0.4009330660876241
SeqD,FX,single_shell,1500,1500.0,64,8,6,131,0.0,0.9847328244274809,0.015267175572519083,1.015267175572519,0.3859680200723165
SeqD,CGC,single_shell,1500,1500.0,64,8,6,1472,0.0,0.6881793478260869,0.311820652173913,1.453804347826087,0.40466322674200983
SeqD,CGH,single_shell,1500,1500.0,64,8,6,765,0.0,0.7006535947712418,0.29934640522875816,1.4313725490196079,0.39670390739557454
SeqD,UF,single_shell,1500,1500.0,64,8,6,175,0.0,0.8571428571428571,0.14285714285714285,1.16,0.35681861348685306
