protocol,roi,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqA1,whole_mask,1000.0,64,1,8,421714,0.0,0.23164040084037998,0.76835959915962,2.2717955770972744,0.5264120484659177
SeqA5,whole_mask,1000.0,64,5,8,437236,0.00012121600234198465,0.2336015332680749,0.7662772507295831,2.2705952849262183,0.5281422542524713
SeqA6,whole_mask,1000.0,64,6,8,422682,0.00012065808338183314,0.219900539885777,0.7799788020308411,2.332592823919637,0.5097227469419151
