protocol,roi,fit_type,shells_used,b_value,n_dirs,n_b0,sh_order,n_voxels,frac_0peaks,frac_1peak,frac_crossing,mean_n_peaks,energy_frac_high_order
SeqC,whole_mask,single_shell,1000,1000.0,32,8,6,419664,3.5742880018300355e-05,0.23498084181631018,0.7649834153036715,2.262028670555492,0.41359960913118
SeqC,FX,single_shell,1000,1000.0,32,8,6,142,0.0,0.9577464788732394,0.04225352112676056,1.0422535211267605,0.3360734494463592
SeqC,CGC,single_shell,1000,1000.0,32,8,6,1470,0.0,0.6619047619047619,0.3380952380952381,1.4761904761904763,0.3618033588807487
SeqC,CGH,single_shell,1000,1000.0,32,8,6,708,0.0,0.6115819209039548,0.3884180790960452,1.5197740112994351,0.357302870285369
SeqC,UF,single_shell,1000,1000.0,32,8,6,163,0.0,0.7975460122699386,0.20245398773006135,1.2269938650306749,0.31505816982366214
SeqC,whole_mask,single_shell,1500,1500.0,64,8,8,419664,3.5742880018300355e-05,0.22410070913873956,0.7758635479812421,2.357080902817492,0.5108057935971457
SeqC,FX,single_shell,1500,1500.0,64,8,8,142,0.0,0.9647887323943662,0.035211267605633804,1.0422535211267605,0.5036090479150336
SeqC,CGC,single_shell,1500,1500.0,64,8,8,1470,0.0,0.6782312925170068,0.3217687074829932,1.4789115646258504,0.5181539363842196
SeqC,CGH,single_shell,1500,1500.0,64,8,8,708,0.0,0.6440677966101694,0.3559322033898305,1.5508474576271187,0.5050082126054402
SeqC,UF,single_shell,1500,1500.0,64,8,8,163,0.0,0.8404907975460123,0.15950920245398773,1.2147239263803682,0.4682274986085454
SeqD,whole_mask,single_shell,750,750.0,28,8,6,436961,0.00018765976826307153,0.26431649506477695,0.73549584516696,2.1538810099757186,0.4052415371342205
SeqD,FX,single_shell,750,750.0,28,8,6,131,0.0,0.9847328244274809,0.015267175572519083,1.015267175572519,0.3238686502918075
SeqD,CGC,single_shell,750,750.0,28,8,6,1472,0.0,0.6677989130434783,0.33220108695652173,1.4599184782608696,0.34350255507148403
SeqD,CGH,single_shell,750,750.0,28,8,6,765,0.0,0.6196078431372549,0.3803921568627451,1.4993464052287582,0.33716347483692927
SeqD,UF,single_shell,750,750.0,28,8,6,175,0.0,0.8,0.2,1.2114285714285715,0.29729056310131163
SeqD,whole_mask,single_shell,1500,1500.0,64,8,8,436961,0.00018765976826307153,0.2301578401733793,0.7696545000583576,2.3419023665727603,0.5092618849690186
SeqD,FX,single_shell,1500,1500.0,64,8,8,131,0.0,0.9770992366412213,0.022900763358778626,1.0229007633587786,0.49384592808563404
SeqD,CGC,single_shell,1500,1500.0,64,8,8,1472,0.0,0.6752717391304348,0.32472826086956524,1.482336956521739,0.51610843344482
SeqD,CGH,single_shell,1500,1500.0,64,8,8,765,0.0,0.6666666666666666,0.3333333333333333,1.4967320261437909,0.5070196068745739
SeqD,UF,single_shell,1500,1500.0,64,8,8,175,0.0,0.8171428571428572,0.18285714285714286,1.217142857142857,0.46712092974792746
